frame,status,source,prior_error,edge_error,green_error,twist_angle_deg,local_det,notes
frame_0660.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0662.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0664.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0666.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0668.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0670.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0672.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0674.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0676.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0678.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0680.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0682.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0684.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0688.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0690.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0692.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0694.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0696.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0698.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0700.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0702.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0708.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0714.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0716.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0724.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0730.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0732.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0734.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0736.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0738.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0740.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0742.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0744.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0748.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0750.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0752.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0754.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
frame_0758.jpg,reused_previous,previous,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h
