frame,original_green_error_px,corrected_green_error_px,left_shift_x,left_shift_y,right_shift_x,right_shift_y,left_marker_x,left_marker_y,right_marker_x,right_marker_y,right_track_score,left_marker_rank,output_width,output_height
frame_0026.jpg,151.63530288035855,1.7053025658242404e-13,-75.37428815267612,-8.187365594736093,75.37428815267612,8.187365594736093,495.133319652507,1089.597783706136,312.0,1034.0,0.8541277050971985,0,1668,1297
frame_0028.jpg,150.40495956061972,0.0,-74.9392341203287,-6.286823885434956,74.9392341203287,6.286823885434956,494.26211055276383,1088.724824120603,312.0,1037.0,0.8473033308982849,0,1668,1297
frame_0030.jpg,153.1726809993285,2.3437142008433856e-13,-75.32855811498672,-13.823020055240477,75.32855811498672,13.823020055240477,495.0950003328673,1088.8372278809666,312.0,1022.0,0.5400347113609314,0,1668,1297
frame_0032.jpg,110.22237425799953,2.3437142008433856e-13,-55.10792807348321,-0.5993414848238672,55.10792807348321,0.5993414848238672,517.2301981981982,994.709117117117,366.0,957.0,0.8997035622596741,0,1668,1297
frame_0034.jpg,101.28690388907195,1.1368683772161603e-13,-49.917924985256434,-8.541662017712724,49.917924985256434,8.541662017712724,537.2248711340206,955.0424541809849,392.0,902.0,0.9006001949310303,0,1668,1297
frame_0036.jpg,99.8145280325935,2.2737367544323206e-13,-48.62439382816598,-11.242923393662466,48.62439382816598,11.242923393662466,543.7383256205301,946.4397700182301,400.0,888.0,0.9174790978431702,0,1668,1297
frame_0038.jpg,106.5225878673668,1.6077746776921858e-13,-52.67508542074705,-7.880406550884345,52.67508542074705,7.880406550884345,552.8946037765662,940.95567670064,400.0,889.0,0.9085325002670288,0,1668,1297
frame_0040.jpg,101.79682324307124,1.6077746776921858e-13,-50.31631151870323,-7.675747569330667,50.31631151870323,7.675747569330667,553.2308950689413,940.5477915400794,405.0,889.0,0.9178584218025208,0,1668,1297
frame_0042.jpg,97.5235002144364,0.0,-48.20513942791132,-7.346618695319876,48.20513942791132,7.346618695319876,558.3228730822873,941.1576785991011,414.0,890.0,0.8995252847671509,0,1668,1297
frame_0044.jpg,106.16959212687988,1.1368683772161603e-13,-52.65142285451236,-6.769286852567404,52.65142285451236,6.769286852567404,567.8599720410065,941.4753805529667,414.0,891.0,0.910259485244751,0,1668,1297
frame_0046.jpg,103.2771474779463,1.6077746776921858e-13,-51.187218794800174,-6.812556777643977,51.187218794800174,6.812556777643977,573.2817853213892,941.8369479805123,422.0,891.0,0.9160065054893494,0,1668,1297
frame_0048.jpg,100.88435625284423,1.6077746776921858e-13,-50.39518927161214,-2.1767481287661212,50.39518927161214,2.1767481287661212,576.6245027844072,932.3924423229912,426.0,891.0,0.9087727665901184,0,1668,1297
frame_0050.jpg,112.78849295996127,1.1368683772161603e-13,-56.39410912508299,-0.12446699578350717,56.39410912508299,0.12446699578350717,589.8711279262237,927.7723654134153,426.0,890.0,0.9163017868995667,0,1668,1297
frame_0052.jpg,107.88266608209602,1.1368683772161603e-13,-53.9372029786345,0.6674916380292757,53.9372029786345,-0.6674916380292757,590.0108541764984,927.1744533585023,431.0,891.0,0.9114463925361633,0,1668,1297
frame_0054.jpg,107.80046522564139,1.1368683772161603e-13,-53.9000796461973,0.12841280998219418,53.9000796461973,-0.12841280998219418,595.1866119595775,928.5538332953423,436.0,891.0,0.9139202833175659,0,1668,1297
frame_0056.jpg,106.99724166477549,0.0,-53.49602909645398,0.52659460587887,53.49602909645398,-0.52659460587887,605.0682684973302,928.2299771167048,446.0,891.0,0.9273924827575684,0,1668,1297
frame_0058.jpg,113.09796699053595,2.5421149729252077e-13,-56.35270528437218,4.707455945707977,56.35270528437218,-4.707455945707977,616.1134004526651,920.135409349879,450.0,891.0,0.9136309623718262,0,1668,1297
frame_0060.jpg,115.44671172059822,2.2737367544323206e-13,-57.25210447036784,-7.360865811085944,57.25210447036784,7.360865811085944,621.2199440820131,920.5374339857099,453.0,867.0,0.9285115003585815,0,1668,1297
frame_0062.jpg,110.38959227713242,1.6077746776921858e-13,-54.716944981298354,-7.247168598249402,54.716944981298354,7.247168598249402,621.1634292846555,920.2992433107106,458.0,867.0,0.9249956011772156,0,1668,1297
frame_0064.jpg,111.29631481655838,1.1368683772161603e-13,-55.155534404456375,-7.388128822337023,55.155534404456375,7.388128822337023,626.339772281115,920.8551236749116,462.0,867.0,0.9304695129394531,1,1668,1297
frame_0066.jpg,116.19802309711689,1.1368683772161603e-13,-57.61195817337125,-7.507157807669216,57.61195817337125,7.507157807669216,635.8165752589883,921.5849329677026,466.0,867.0,0.9215139150619507,0,1668,1297
frame_0068.jpg,108.41191142404723,2.2737367544323206e-13,-53.685175596117006,-7.495835901882344,53.685175596117006,7.495835901882344,635.9743707093821,921.5695652173913,474.0,867.0,0.9396350979804993,0,1668,1297
frame_0070.jpg,107.12962635226022,0.0,-53.09474955561461,-7.080733028457075,53.09474955561461,7.080733028457075,641.0922318704529,922.0062583118204,480.0,868.0,0.9455087184906006,0,1668,1297
frame_0072.jpg,116.37848781243002,1.6077746776921858e-13,-57.75673763139565,-7.0814803929056325,57.75673763139565,7.0814803929056325,651.0149795382596,922.5140143618254,480.0,868.0,0.9380456209182739,0,1668,1297
frame_0074.jpg,112.840631449181,1.1368683772161603e-13,-55.87846095713678,-7.800617124575126,55.87846095713678,7.800617124575126,651.2385229540918,922.9784277598648,484.0,867.0,0.9406912326812744,0,1668,1297
frame_0076.jpg,114.42028084059167,1.6077746776921858e-13,-56.77037141590557,-7.07990792384328,56.77037141590557,7.07990792384328,661.5974813790984,924.0838516470859,492.0,869.0,0.9396612644195557,0,1668,1297
frame_0078.jpg,124.11118178300582,1.6077746776921858e-13,-61.919757970929766,-4.103648829402744,61.919757970929766,4.103648829402744,673.0202791271494,918.5186984347289,492.0,869.0,0.9426076412200928,0,1668,1297
frame_0080.jpg,117.1128339615556,1.6077746776921858e-13,-58.409750548601494,-4.141860750540729,58.409750548601494,4.141860750540729,672.9928610653486,918.5962187181296,499.0,869.0,0.9373014569282532,0,1668,1297
frame_0082.jpg,115.22094727109446,2.2737367544323206e-13,-57.530034777544074,-3.0433157914766866,57.530034777544074,3.0433157914766866,678.5732152567389,918.6784743261088,506.0,871.0,0.9406578540802002,0,1668,1297
frame_0084.jpg,118.62304807982224,1.1368683772161603e-13,-59.19945782753081,-3.64432118004936,59.19945782753081,3.64432118004936,683.1621806569343,919.1220346715329,507.0,870.0,0.9497188925743103,0,1668,1297
frame_0086.jpg,124.31828000618036,0.0,-62.058979367862264,-3.5272887240785735,62.058979367862264,3.5272887240785735,693.4105181747873,920.437200309358,511.0,871.0,0.9465308785438538,0,1668,1297
frame_0088.jpg,116.53241618835726,0.0,-58.162400817509706,-3.476512162710435,58.162400817509706,3.476512162710435,693.6380153738644,920.3440484509667,519.0,871.0,0.9521797299385071,0,1668,1297
frame_0090.jpg,115.06965404015784,0.0,-57.42208780869862,-3.6000211000088598,57.42208780869862,3.6000211000088598,698.4095043201455,920.8431105047749,525.0,871.0,0.9452354311943054,0,1668,1297
frame_0092.jpg,124.42444260282291,0.0,-62.095367463484195,-3.8112752236831966,62.095367463484195,3.8112752236831966,708.2790996298813,921.7838960646574,525.0,871.0,0.949624240398407,0,1668,1297
frame_0094.jpg,120.26568253186375,0.0,-60.02905387430707,-3.531471317920989,60.02905387430707,3.531471317920989,708.1835266821346,921.2018561484919,529.0,871.0,0.9431857466697693,0,1668,1297
frame_0096.jpg,116.39538863249365,0.0,-58.105465837721226,-3.2751280140965378,58.105465837721226,3.2751280140965378,713.6011808910359,921.9815965033356,538.0,872.0,0.9409301280975342,0,1668,1297
frame_0098.jpg,119.69009943815345,1.6077746776921858e-13,-59.7882239015845,-2.6073470372709266,59.7882239015845,2.6073470372709266,718.2493112947658,921.8734312825221,539.0,873.0,0.9377555847167969,0,1668,1297
frame_0100.jpg,126.56091189251593,1.1368683772161603e-13,-63.18260576073368,-3.5177313783173645,63.18260576073368,3.5177313783173645,728.5398584179748,923.2458448753463,542.0,872.0,0.946725606918335,0,1668,1297
