frame,left_path,right_path,status,source,left_pattern,right_pattern,common_pattern,inliers,reprojection_error,prior_error,edge_error,green_error,twist_angle_deg,local_det,notes,left_h_11,left_h_12,left_h_13,left_h_21,left_h_22,left_h_23,left_h_31,left_h_32,left_h_33,right_h_11,right_h_12,right_h_13,right_h_21,right_h_22,right_h_23,right_h_31,right_h_32,right_h_33,direct_h_11,direct_h_12,direct_h_13,direct_h_21,direct_h_22,direct_h_23,direct_h_31,direct_h_32,direct_h_33,canvas_left_h_11,canvas_left_h_12,canvas_left_h_13,canvas_left_h_21,canvas_left_h_22,canvas_left_h_23,canvas_left_h_31,canvas_left_h_32,canvas_left_h_33,canvas_right_h_11,canvas_right_h_12,canvas_right_h_13,canvas_right_h_21,canvas_right_h_22,canvas_right_h_23,canvas_right_h_31,canvas_right_h_32,canvas_right_h_33
frame_0000.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_0000.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_0000.jpg,green_aligned_repair,marker_track,6x7,6x8,6x6,36,0.288507878780365,0.0,0.051167411823149545,0.000000,-4.087284629936766,0.9729050072051222,initial-green-repair;pre_error=137.848,0.8950175532079655,0.07471242546751261,-68.13151491042348,-0.0813643735271981,0.9518265448265221,39.20600169871964,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8950175532079655,0.07471242546751261,-68.13151491042348,-0.0813643735271981,0.9518265448265221,39.20600169871964,-3.741694663507287e-05,4.467324381347946e-06,1.0,0.8924732008367805,0.07501620352544427,-0.1315149104234763,-0.08499381735080017,0.9522598752915128,136.20600169871963,-3.741694663507287e-05,4.467324381347946e-06,1.0,1.0,0.0,68.0,0.0,1.0,97.0,0.0,0.0,1.0
frame_1058.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_1058.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_1058.jpg,accepted,board,4x8,4x4,4x3,12,0.4273386001586914,0.8371913433074951,0.9967213114754099,9.860458374023438,-4.918390811996759,1.2380623640126744,,1.2565296865181947,0.08175064906217232,-717.9857672722856,-0.109700452238696,1.1491309395816656,-111.66074878685545,2.6127866140754536e-05,4.021303616339458e-05,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.2565296865181947,0.08175064906217232,-717.9857672722856,-0.109700452238696,1.1491309395816656,-111.66074878685545,2.6127866140754536e-05,4.021303616339458e-05,1.0,1.2752894944072566,0.11062360902748963,0.014232727714443172,-0.10248916118384775,1.1602297375627624,164.33925121314456,2.6127866140754536e-05,4.021303616339458e-05,1.0,1.0,0.0,718.0,0.0,1.0,276.0,0.0,0.0,1.0
frame_1060.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_1060.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_1060.jpg,accepted,board,4x8,4x4,4x3,12,0.5237405300140381,0.7849570512771606,0.9714503235629997,2.9217371940612793,-4.882676210950166,1.2350424871284593,,1.2925087960774277,0.08026211325059078,-736.7341016018692,-0.08653790786143177,1.1699601744013581,-129.75519196872807,5.512370467697191e-05,4.021315269618415e-05,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.2925087960774277,0.08026211325059078,-736.7341016018692,-0.08653790786143177,1.1699601744013581,-129.75519196872807,5.512370467697191e-05,4.021315269618415e-05,1.0,1.3331349664243561,0.1098992067876785,0.2658983981308438,-0.07297747651089669,1.1798526099646194,116.24480803127193,5.512370467697191e-05,4.021315269618415e-05,1.0,1.0,0.0,737.0,0.0,1.0,246.0,0.0,0.0,1.0
frame_1062.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_1062.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_1062.jpg,accepted,board,4x8,4x4,4x3,11,0.3567329943180084,13.712963104248047,1.0,8.225785255432129,-4.951028414954296,1.2308143449930433,,1.2818803902581444,0.08783141717854134,-736.7892557091975,-0.10039543858787131,1.184646058759644,-119.96301802408755,3.462009181364867e-05,5.482185960129307e-05,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.2818803902581444,0.08783141717854134,-736.7892557091975,-0.10039543858787131,1.184646058759644,-119.96301802408755,3.462009181364867e-05,5.482185960129307e-05,1.0,1.3073953979248034,0.12823512770469433,0.21074429080249502,-0.09118649416544077,1.199228673413588,146.03698197591245,3.462009181364867e-05,5.482185960129307e-05,1.0,1.0,0.0,737.0,0.0,1.0,266.0,0.0,0.0,1.0
frame_1064.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_1064.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_1064.jpg,accepted,board,4x8,4x4,4x3,12,0.49148374795913696,0.5703166723251343,0.9800150829562594,2.670124053955078,-4.769914903731606,1.238016106082814,,1.2927583700900718,0.07620881039687975,-733.1730783160448,-0.08391747296402843,1.1706207001050393,-118.39897345707732,5.595813002251953e-05,3.879171312960962e-05,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.2927583700900718,0.07620881039687975,-733.1730783160448,-0.08391747296402843,1.1706207001050393,-118.39897345707732,5.595813002251953e-05,3.879171312960962e-05,1.0,1.3337756793965785,0.1046431361208836,-0.17307831604477997,-0.07093518679880391,1.1796203775511087,113.60102654292268,5.595813002251953e-05,3.879171312960962e-05,1.0,1.0,0.0,733.0,0.0,1.0,232.0,0.0,0.0,1.0
frame_1066.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_1066.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_1066.jpg,accepted,board,4x8,4x4,4x3,12,0.6450283527374268,1.0475800037384033,0.995656894679696,8.456290245056152,-4.934365344085675,1.2322625095984072,,1.2354415356018067,0.08148089748729265,-705.5850729429845,-0.11680354144732508,1.1340302318997986,-87.16172151501267,1.2900810523038087e-05,3.792458931464806e-05,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.2354415356018067,0.08148089748729265,-705.5850729429845,-0.11680354144732508,1.1340302318997986,-87.16172151501267,1.2900810523038087e-05,3.792458931464806e-05,1.0,1.2445495078310715,0.10825565754343418,0.4149270570154613,-0.11334612422715086,1.1441940218361242,180.8382784849873,1.2900810523038087e-05,3.792458931464806e-05,1.0,1.0,0.0,706.0,0.0,1.0,268.0,0.0,0.0,1.0
frame_1068.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_1068.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_1068.jpg,accepted,board,4x8,4x4,3x3,9,0.35597163438796997,0.43992772698402405,0.9870918754745635,3.2953286170959473,-4.914118091247709,1.2424477273927943,,1.2673427863856723,0.08320907122907208,-724.6525168811903,-0.08574212855502897,1.1621689898846033,-117.88924690219444,4.390922362750485e-05,3.7565858420529006e-05,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.2673427863856723,0.08320907122907208,-724.6525168811903,-0.08574212855502897,1.1621689898846033,-117.88924690219444,4.390922362750485e-05,3.7565858420529006e-05,1.0,1.2991769735156133,0.1104443185839556,0.3474831188096914,-0.0752917333316828,1.1711096641886891,120.11075309780556,4.390922362750485e-05,3.7565858420529006e-05,1.0,1.0,0.0,725.0,0.0,1.0,238.0,0.0,0.0,1.0
frame_1070.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_1070.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_1070.jpg,accepted,board,4x8,4x4,3x3,9,0.3961260914802551,0.4011732041835785,0.9942528735632183,6.5340576171875,-4.948542782432542,1.2383313441653871,,1.2895118882257455,0.09155916643355813,-744.5553360604699,-0.09506216568306218,1.20195024257845,-134.23670637900906,3.628170614142086e-05,6.084397153909401e-05,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.2895118882257455,0.09155916643355813,-744.5553360604699,-0.09506216568306218,1.20195024257845,-134.23670637900906,3.628170614142086e-05,6.084397153909401e-05,1.0,1.316541759301104,0.13688792523018317,0.44466393953007355,-0.08522982331873713,1.2184389588655447,136.76329362099094,3.628170614142086e-05,6.084397153909401e-05,1.0,1.0,0.0,745.0,0.0,1.0,271.0,0.0,0.0,1.0
frame_1072.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_1072.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_1072.jpg,accepted,board,4x8,4x4,4x4,16,0.8423502445220947,12.194368362426758,0.9638281838733986,8.395821571350098,-4.539606651275512,1.2596463423877924,,1.2322528330049227,0.06223356269220635,-682.8099157050726,-0.09406525506032236,1.1227231561668636,-88.11445388133195,3.398139580848748e-05,1.4731139488290957e-05,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.2322528330049227,0.06223356269220635,-682.8099157050726,-0.09406525506032236,1.1227231561668636,-88.11445388133195,3.398139580848748e-05,1.4731139488290957e-05,1.0,1.2554621263421197,0.07229493096270907,0.19008429492737378,-0.08638545960760419,1.1260523936912175,137.88554611866806,3.398139580848748e-05,1.4731139488290957e-05,1.0,1.0,0.0,683.0,0.0,1.0,226.0,0.0,0.0,1.0
frame_1074.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_1074.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_1074.jpg,accepted,board,4x8,4x4,3x3,6,0.3359801173210144,14.976293563842773,0.9929785661492978,6.723964691162109,-4.178995086400893,1.2276139981071463,,1.3864712168970976,0.07479143911256794,-785.9014592229493,-0.04500615701285232,1.3076208178255884,-203.8640898331796,8.763349921167321e-05,9.472361938068217e-05,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.3864712168970976,0.07479143911256794,-785.9014592229493,-0.04500615701285232,1.3076208178255884,-203.8640898331796,8.763349921167321e-05,9.472361938068217e-05,1.0,1.4553511472774727,0.14924420394578414,0.0985407770507436,-0.023798850203627403,1.3305439337157134,38.135910166820395,8.763349921167321e-05,9.472361938068217e-05,1.0,1.0,0.0,786.0,0.0,1.0,242.0,0.0,0.0,1.0
frame_1076.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_1076.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_1076.jpg,accepted,board,3x8,4x4,3x3,9,0.31352391839027405,4.513400077819824,0.9996134518747584,8.56574535369873,-4.798048248385719,1.2504098618544837,,1.2922567867756343,0.08306086134920189,-746.7604803646319,-0.09743217698974009,1.1950670907054166,-123.8439830563123,3.9243313352614266e-05,5.820507176056611e-05,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.2922567867756343,0.08306086134920189,-746.7604803646319,-0.09743217698974009,1.1950670907054166,-123.8439830563123,3.9243313352614266e-05,5.820507176056611e-05,1.0,1.3215715418500371,0.12654004995434479,0.23951963536808307,-0.08711118557800254,1.2103750245784455,139.1560169436877,3.9243313352614266e-05,5.820507176056611e-05,1.0,1.0,0.0,747.0,0.0,1.0,263.0,0.0,0.0,1.0
frame_1078.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_1078.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_1078.jpg,accepted,board,3x8,4x4,3x3,9,0.3893853425979614,0.909937858581543,0.9634097305991154,3.7771730422973633,-4.707701467186593,1.250267863128234,,1.2722830219108434,0.06780047114851674,-724.2293519840684,-0.08295279504650029,1.137636248047506,-102.81144212392057,5.5451377722982464e-05,1.9221003106020308e-05,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.2722830219108434,0.06780047114851674,-724.2293519840684,-0.08295279504650029,1.137636248047506,-102.81144212392057,5.5451377722982464e-05,1.9221003106020308e-05,1.0,1.3124298193822828,0.08171647739727544,-0.22935198406844393,-0.07097529745833607,1.1417879847184063,113.18855787607943,5.5451377722982464e-05,1.9221003106020308e-05,1.0,1.0,0.0,724.0,0.0,1.0,216.0,0.0,0.0,1.0
frame_1080.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_1080.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_1080.jpg,reused_previous,previous,3x8,4x4,,0,inf,inf,inf,inf,inf,inf,board-rejected;no-valid-new-h,1.2722830219108434,0.06780047114851674,-724.2293519840684,-0.08295279504650029,1.137636248047506,-102.81144212392057,5.5451377722982464e-05,1.9221003106020308e-05,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.2722830219108434,0.06780047114851674,-724.2293519840684,-0.08295279504650029,1.137636248047506,-102.81144212392057,5.5451377722982464e-05,1.9221003106020308e-05,1.0,1.3124298193822828,0.08171647739727544,-0.22935198406844393,-0.07097529745833607,1.1417879847184063,113.18855787607943,5.5451377722982464e-05,1.9221003106020308e-05,1.0,1.0,0.0,724.0,0.0,1.0,216.0,0.0,0.0,1.0
frame_1082.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_1082.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_1082.jpg,accepted,board,3x8,4x4,3x3,9,0.45581185817718506,0.5315341949462891,0.993006993006993,10.984929084777832,-4.578091416627556,1.2482555560052773,,1.3215298184766144,0.07927354420502525,-760.4279960614418,-0.0895802357880503,1.227491064018935,-146.75130505307723,5.436345738735913e-05,6.431219006301607e-05,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.3215298184766144,0.07927354420502525,-760.4279960614418,-0.0895802357880503,1.227491064018935,-146.75130505307723,5.436345738735913e-05,6.431219006301607e-05,1.0,1.3629004095483948,0.12821512084298048,0.5720039385581686,-0.07506519266562542,1.2446624187657602,120.24869494692277,5.436345738735913e-05,6.431219006301607e-05,1.0,1.0,0.0,761.0,0.0,1.0,267.0,0.0,0.0,1.0
frame_1084.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_1084.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_1084.jpg,accepted,board,3x8,4x4,3x3,9,0.8410522937774658,13.82655143737793,0.9932254422280767,7.616840839385986,-4.99894276458441,1.2542138469914421,,1.3593099541675222,0.09813618483823233,-812.1196818418257,-0.0666574451147852,1.2653373520710451,-168.74806597794387,8.360844269384696e-05,6.637720502684525e-05,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.3593099541675222,0.09813618483823233,-812.1196818418257,-0.0666574451147852,1.2653373520710451,-168.74806597794387,8.360844269384696e-05,6.637720502684525e-05,1.0,1.427200009634926,0.1520344753200307,-0.1196818418256953,-0.04634059354018039,1.2814670128925685,74.25193402205613,8.360844269384696e-05,6.637720502684525e-05,1.0,1.0,0.0,812.0,0.0,1.0,243.0,0.0,0.0,1.0
frame_1086.jpg,D:\visualization2026\visualization\left_downsample2_health_second\frame_1086.jpg,D:\visualization2026\visualization\right_downsample2_health_second\frame_1086.jpg,accepted,board,3x8,4x4,3x3,9,0.47845908999443054,12.907326698303223,0.9582767978290366,1.773693561553955,-4.024112325643305,1.2397062071883103,,1.2604785915491714,0.04907961915138861,-694.9595178958747,-0.07295145754483859,1.1311691393264776,-93.50231672993802,5.255149089077516e-05,1.707387334702541e-05,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.2604785915491714,0.04907961915138861,-694.9595178958747,-0.07295145754483859,1.1311691393264776,-93.50231672993802,5.255149089077516e-05,1.707387334702541e-05,1.0,1.2970018777182601,0.060945961127571266,0.040482104125317164,-0.0627564683120282,1.1344814707558004,100.49768327006198,5.255149089077516e-05,1.707387334702541e-05,1.0,1.0,0.0,695.0,0.0,1.0,194.0,0.0,0.0,1.0
