frame,original_green_error_px,corrected_green_error_px,left_shift_x,left_shift_y,right_shift_x,right_shift_y,left_marker_x,left_marker_y,right_marker_x,right_marker_y,left_track_score,right_track_score,left_marker_rank,right_marker_rank,output_width,output_height,mode
frame_0508.jpg,15.402525904421347,0.0,6.705917854094878,-3.7868346667400488,-6.705917854094878,3.7868346667400488,1185.694985627595,845.3230064941977,990.647653000594,847.7067736185384,0.9852632880210876,0.9600447416305542,0,0,1984,1348,overwrite
frame_0510.jpg,17.15520554313914,2.2737367544323206e-13,-7.475440184505601,-4.206312322535837,7.475440184505601,4.206312322535837,1190.374034648299,845.1993320809852,992.4285344716077,844.8438753072047,0.9844399690628052,0.9574089646339417,0,0,1950,1352,overwrite
frame_0512.jpg,15.79048337365905,1.1368683772161603e-13,-5.937879707407319,-5.203501309100545,5.937879707407319,5.203501309100545,1194.8029860434924,845.2921129503408,1001.175530486167,843.9278807413376,0.9817681312561035,0.9570648670196533,0,0,1947,1356,overwrite
frame_0514.jpg,28.995444212764703,2.2737367544323206e-13,-13.491115691012169,-5.3078944682060865,13.491115691012169,5.3078944682060865,1198.6526645768024,844.6261233019852,990.4057842703261,842.8134867935664,0.9808010458946228,0.9599601626396179,0,0,1947,1356,overwrite
frame_0516.jpg,20.157676964325436,2.2737367544323206e-13,-8.92614037009173,-4.680491773621952,8.92614037009173,4.680491773621952,1198.942193408968,845.208752025932,999.9472693032014,844.6866760828625,0.9805566668510437,0.9574868679046631,0,0,1947,1356,overwrite
frame_0518.jpg,7.428205006999682,2.5421149729252077e-13,-3.4484595653640326,-1.3793781325485384,3.4484595653640326,1.3793781325485384,1208.7096041531472,844.1271901362751,1005.0193587416817,843.9690260133091,0.9808071851730347,0.9625051617622375,0,0,1980,1351,overwrite
frame_0520.jpg,9.194873072975708,2.2737367544323206e-13,-4.358407342477449,-1.4631159024739304,4.358407342477449,1.4631159024739304,1208.44582801192,844.7683056619837,986.9509238728749,846.5148558758315,0.9790259003639221,0.9566405415534973,0,0,2003,1353,overwrite
frame_0522.jpg,7.232519603597952,4.0990372275064023e-13,-2.1973756162365135,-2.8720855410792296,2.1973756162365135,2.8720855410792296,1213.1997384766264,843.7685518143184,996.8143661282427,842.7492657856094,0.9791584014892578,0.9532426595687866,0,0,2000,1350,overwrite
frame_0524.jpg,6.625129909581146,1.1368683772161603e-13,-1.6267484053526005,-2.8856153945717438,1.6267484053526005,2.8856153945717438,1217.7166506461604,843.9922033536259,1002.2160970231532,841.4554698027684,0.974377453327179,0.9556013345718384,0,0,2007,1351,overwrite
frame_0526.jpg,20.168736357283723,1.1368683772161603e-13,7.685026874755749,-6.5295362390208425,-7.685026874755749,6.5295362390208425,1203.7682625309058,849.339739267251,1005.7662575821695,840.6038933559036,0.9765697717666626,0.9546487331390381,0,0,2007,1351,overwrite
frame_0528.jpg,5.594836490074283,3.2155493553843715e-13,-1.8991843341769936,-2.0539346879789946,1.8991843341769936,2.0539346879789946,1202.6341008771929,850.0051535087719,1010.9396460644479,841.6665346011621,0.976799488067627,0.9551063179969788,0,0,1978,1356,overwrite
frame_0530.jpg,5.398243334204767,1.1368683772161603e-13,-1.780139354748826,-2.028881872238003,1.780139354748826,2.028881872238003,1207.0326310102646,849.7502971366828,1015.9385716214391,840.4277035236938,0.970319390296936,0.9532522559165955,0,0,1979,1352,overwrite
frame_0532.jpg,5.326911635471198,0.0,-1.785311539550321,-1.976527156347231,1.785311539550321,1.976527156347231,1212.015238095238,849.24,1021.7363494539782,839.6926677067082,0.9739552736282349,0.9440005421638489,0,0,1980,1355,overwrite
frame_0534.jpg,18.529991780606416,2.2737367544323206e-13,-8.962583966354828,-2.3478154725988816,8.962583966354828,2.3478154725988816,1220.9995461765373,849.1468118901746,1015.2654844512978,839.1886404523258,0.9695195555686951,0.9405941367149353,0,0,1982,1353,overwrite
frame_0536.jpg,6.543356567799742,2.5421149729252077e-13,-1.7391801784671088,-2.7711245190660634,1.7391801784671088,2.7711245190660634,1220.9403634780715,848.8688649472194,1020.102948525737,837.7358820589704,0.9667352437973022,0.9425732493400574,0,0,1999,1359,overwrite
frame_0538.jpg,10.436873907171407,2.2737367544323206e-13,-3.537992978726379,-3.8359731387265583,3.537992978726379,3.8359731387265583,1225.07005312085,849.2841965471448,1021.4768500197863,836.0441894209207,1.0,1.0,0,0,1997,1359,overwrite
frame_0540.jpg,9.09207410966293,4.547473508864641e-13,-0.8394768915762825,-4.467855352673155,0.8394768915762825,4.467855352673155,1216.205818022747,848.8858267716536,1012.7007575757575,835.2520772238514,1.0,0.9999939203262329,0,0,1994,1354,overwrite
frame_0542.jpg,7.525597600804119,2.2737367544323206e-13,-2.439759295136014,-2.8646517055489653,2.439759295136014,2.8646517055489653,1215.2777964018326,849.1721980109509,1016.7421142369991,835.5467462347257,0.9619457721710205,0.9197021722793579,0,0,2000,1373,overwrite
frame_0544.jpg,9.493516481199551,1.1368683772161603e-13,-3.1681961474740774,-3.5347202104031226,3.1681961474740774,3.5347202104031226,1220.6976109215018,849.0596131968146,1021.5025682616922,833.7731819410651,0.9697989225387573,0.9339146018028259,0,0,2000,1373,overwrite
